Date,GBP/USD Close,GBP/USD High,GBP/USD Low
1999-11-23,1.6233,1.6277,1.6195
1999-11-24,1.609,1.6255,1.6043
1999-11-25,1.613,1.618,1.6075
1999-11-26,1.6072,1.617,1.602
1999-11-29,1.6056,1.608,1.5986
1999-11-30,1.5989,1.6065,1.591
1999-12-01,1.6011,1.6045,1.5953
1999-12-02,1.6003,1.6035,1.5965
1999-12-03,1.6011,1.6026,1.598
1999-12-06,1.6192,1.625,1.5995
1999-12-07,1.6246,1.6295,1.6175
1999-12-08,1.628,1.631,1.622
1999-12-09,1.6247,1.6285,1.6185
1999-12-10,1.6208,1.6265,1.6196
1999-12-13,1.6242,1.625,1.62
1999-12-14,1.6117,1.626,1.6101
1999-12-15,1.6046,1.614,1.6022
1999-12-16,1.6102,1.6195,1.606
1999-12-17,1.6043,1.6185,1.6021
1999-12-20,1.6052,1.611,1.602
1999-12-21,1.6117,1.6137,1.606
1999-12-22,1.6076,1.6135,1.6056
1999-12-23,1.6143,1.6185,1.607
1999-12-24,1.6175,1.6225,1.6135
1999-12-27,1.6175,1.6185,1.6105
1999-12-28,1.6153,1.6205,1.6141
1999-12-29,1.6191,1.6203,1.6145
1999-12-30,1.6173,1.6221,1.6115
1999-12-31,1.6189,1.621,1.6115
2000-01-03,1.6393,1.6403,1.6148
2000-01-04,1.6371,1.641,1.6315
2000-01-05,1.6419,1.6445,1.636
2000-01-06,1.6476,1.6515,1.6415
2000-01-07,1.6385,1.6495,1.6361
2000-01-10,1.6367,1.6395,1.6335
2000-01-11,1.648,1.649,1.6365
2000-01-12,1.648,1.6492,1.645
2000-01-13,1.6463,1.6503,1.6407
2000-01-14,1.6344,1.6445,1.6328
2000-01-17,1.6325,1.6395,1.63
2000-01-18,1.6361,1.6391,1.6315
2000-01-19,1.6433,1.6455,1.6367
2000-01-20,1.6538,1.6578,1.6425
2000-01-21,1.6494,1.658,1.6476
2000-01-24,1.65,1.6558,1.6465
2000-01-25,1.6444,1.6535,1.6435
2000-01-26,1.6383,1.6465,1.6353
2000-01-27,1.6385,1.64,1.634
2000-01-28,1.621,1.636,1.6154
2000-01-31,1.6157,1.6255,1.6119
2000-02-01,1.615,1.6175,1.6084
2000-02-02,1.607,1.615,1.6022
2000-02-03,1.5955,1.609,1.5937
2000-02-04,1.5893,1.6015,1.5835
2000-02-07,1.5961,1.599,1.5885
2000-02-08,1.6108,1.6142,1.596
2000-02-09,1.6142,1.616,1.606
2000-02-10,1.6088,1.617,1.606
2000-02-11,1.5941,1.6105,1.5877
2000-02-14,1.5881,1.597,1.5855
2000-02-15,1.5954,1.5984,1.585
2000-02-16,1.6071,1.6081,1.594
2000-02-17,1.6082,1.614,1.6022
2000-02-18,1.5989,1.6095,1.5953
2000-02-21,1.6,1.6025,1.598
2000-02-22,1.6121,1.6195,1.6
2000-02-23,1.6029,1.615,1.6019
2000-02-24,1.6011,1.621,1.597
2000-02-25,1.5937,1.6005,1.5879
2000-02-28,1.5943,1.5945,1.5857
2000-02-29,1.5795,1.6015,1.5775
2000-03-01,1.5865,1.5925,1.5751
2000-03-02,1.5771,1.587,1.5761
2000-03-03,1.5798,1.584,1.5755
2000-03-06,1.5744,1.582,1.5712
2000-03-07,1.5776,1.5826,1.5695
2000-03-08,1.581,1.5878,1.5744
2000-03-09,1.5813,1.584,1.5777
2000-03-10,1.5767,1.584,1.5755
2000-03-13,1.5783,1.583,1.576
2000-03-14,1.5768,1.58,1.568
2000-03-15,1.573,1.579,1.5695
2000-03-16,1.5757,1.5775,1.5689
2000-03-17,1.5728,1.5765,1.57
2000-03-20,1.5695,1.575,1.565
2000-03-21,1.5732,1.5776,1.566
2000-03-22,1.5769,1.5805,1.5615
2000-03-23,1.5866,1.5904,1.575
2000-03-24,1.5928,1.5942,1.5834
2000-03-27,1.587,1.6005,1.584
2000-03-28,1.5889,1.591,1.5825
2000-03-29,1.5956,1.5974,1.5812
2000-03-30,1.5963,1.5981,1.5875
2000-03-31,1.5935,1.5989,1.5895
2000-04-03,1.5981,1.5993,1.587
2000-04-04,1.5964,1.6086,1.5936
2000-04-05,1.5838,1.5985,1.5824
2000-04-06,1.581,1.5875,1.5776
2000-04-07,1.5805,1.5855,1.5775
2000-04-10,1.5844,1.5848,1.579
2000-04-11,1.5864,1.5894,1.583
2000-04-12,1.5863,1.5887,1.5825
2000-04-13,1.5885,1.593,1.583
2000-04-14,1.5877,1.5917,1.5825
2000-04-17,1.5833,1.5915,1.581
2000-04-18,1.5783,1.5845,1.5745
2000-04-19,1.5789,1.5837,1.5755
2000-04-20,1.58,1.5825,1.5775
2000-04-21,1.58,1.5818,1.5776
2000-04-24,1.5795,1.5815,1.5755
2000-04-25,1.5804,1.5828,1.5735
2000-04-26,1.5765,1.5825,1.575
2000-04-27,1.5759,1.5809,1.5709
2000-04-28,1.5522,1.5747,1.5516
2000-05-01,1.5526,1.557,1.552
2000-05-02,1.5592,1.567,1.552
2000-05-03,1.562,1.565,1.5561
2000-05-04,1.5402,1.5625,1.5355
2000-05-05,1.5271,1.544,1.5243
2000-05-08,1.5322,1.536,1.5265
2000-05-09,1.5331,1.536,1.5305
2000-05-10,1.5117,1.533,1.5071
2000-05-11,1.5025,1.512,1.493
2000-05-12,1.514,1.5202,1.502
2000-05-15,1.5069,1.5225,1.5047
2000-05-16,1.4951,1.5065,1.4943
2000-05-17,1.4927,1.4985,1.488
2000-05-18,1.4818,1.4955,1.4784
2000-05-19,1.4849,1.4891,1.475
2000-05-22,1.4921,1.4967,1.4825
2000-05-23,1.4764,1.4925,1.4724
2000-05-24,1.4764,1.4792,1.468
2000-05-25,1.4707,1.4795,1.4665
2000-05-26,1.4853,1.491,1.4701
2000-05-29,1.4918,1.4925,1.4865
2000-05-30,1.4963,1.5037,1.49
2000-05-31,1.4977,1.5005,1.493
2000-06-01,1.49,1.4966,1.4878
2000-06-02,1.5056,1.5136,1.494
2000-06-05,1.5194,1.52,1.5072
2000-06-06,1.5292,1.5314,1.511
2000-06-07,1.5219,1.529,1.5187
2000-06-08,1.5118,1.522,1.5058
2000-06-09,1.5092,1.5135,1.501
2000-06-12,1.5121,1.5147,1.5035
2000-06-13,1.5089,1.518,1.5073
2000-06-14,1.5002,1.511,1.499
2000-06-15,1.5125,1.5133,1.496
2000-06-16,1.515,1.518,1.5085
2000-06-19,1.5132,1.517,1.5108
2000-06-20,1.5188,1.5202,1.5046
2000-06-21,1.4989,1.5175,1.4945
2000-06-22,1.5144,1.516,1.4965
2000-06-23,1.5037,1.5135,1.4985
2000-06-26,1.499,1.5035,1.4968
2000-06-27,1.5066,1.5068,1.4932
2000-06-28,1.5112,1.5136,1.502
2000-06-29,1.5192,1.5212,1.511
2000-06-30,1.5165,1.5212,1.5105
2000-07-03,1.5133,1.5185,1.5095
2000-07-04,1.5155,1.517,1.5115
2000-07-05,1.5091,1.5175,1.5085
2000-07-06,1.5072,1.5152,1.507
2000-07-07,1.5128,1.5176,1.5045
2000-07-10,1.5117,1.5195,1.5101
2000-07-11,1.5162,1.517,1.5115
2000-07-12,1.5066,1.518,1.5058
2000-07-13,1.5018,1.507,1.4982
2000-07-14,1.4981,1.505,1.4975
2000-07-17,1.4945,1.501,1.4905
2000-07-18,1.4975,1.4995,1.491
2000-07-19,1.4968,1.4985,1.4926
2000-07-20,1.5129,1.5139,1.4905
2000-07-21,1.519,1.5206,1.509
2000-07-24,1.5154,1.5215,1.5126
2000-07-25,1.517,1.5222,1.5135
2000-07-26,1.5152,1.5225,1.5136
2000-07-27,1.5135,1.5175,1.5105
2000-07-28,1.5052,1.514,1.4984
2000-07-31,1.4996,1.505,1.4944
2000-08-01,1.492,1.5024,1.492
2000-08-02,1.4921,1.496,1.4863
2000-08-03,1.4947,1.499,1.4825
2000-08-04,1.5025,1.5081,1.4887
2000-08-07,1.511,1.5124,1.5
2000-08-08,1.5046,1.5125,1.501
2000-08-09,1.5012,1.5055,1.499
2000-08-10,1.497,1.5035,1.495
2000-08-11,1.5029,1.5079,1.497
2000-08-14,1.5039,1.5111,1.5005
2000-08-15,1.5137,1.514,1.5029
2000-08-16,1.5009,1.506,1.4975
2000-08-17,1.4996,1.5015,1.4966
2000-08-18,1.4894,1.4975,1.4878
2000-08-21,1.4874,1.493,1.4862
2000-08-22,1.4841,1.489,1.4783
2000-08-23,1.4867,1.4883,1.476
2000-08-24,1.482,1.488,1.4765
2000-08-25,1.4712,1.4825,1.4702
2000-08-28,1.4707,1.474,1.469
2000-08-29,1.4565,1.472,1.4555
2000-08-30,1.4585,1.4595,1.442
2000-08-31,1.4506,1.459,1.4456
2000-09-01,1.4606,1.4626,1.4465
2000-09-04,1.4585,1.466,1.457
2000-09-05,1.4539,1.4585,1.4475
2000-09-06,1.4389,1.455,1.4385
2000-09-07,1.4382,1.4418,1.4315
2000-09-08,1.4208,1.4315,1.4182
2000-09-11,1.4084,1.423,1.4058
2000-09-12,1.4067,1.4155,1.3955
2000-09-13,1.4091,1.4127,1.403
2000-09-14,1.4065,1.4215,1.403
2000-09-15,1.3992,1.4135,1.398
2000-09-18,1.4058,1.4066,1.3955
2000-09-19,1.41,1.4128,1.4
2000-09-20,1.4096,1.4186,1.4055
2000-09-21,1.4362,1.4392,1.4095
2000-09-22,1.4588,1.481,1.4365
2000-09-25,1.4504,1.464,1.4502
2000-09-26,1.4624,1.463,1.451
2000-09-27,1.4636,1.468,1.4586
2000-09-28,1.4635,1.467,1.4609
2000-09-29,1.4651,1.4801,1.461
2000-10-02,1.4688,1.4795,1.4652
2000-10-03,1.4574,1.4686,1.4556
2000-10-04,1.4596,1.461,1.4525
2000-10-05,1.4465,1.46,1.4449
2000-10-06,1.4445,1.4515,1.4415
2000-10-09,1.447,1.449,1.446
2000-10-10,1.453,1.458,1.447
2000-10-11,1.4606,1.4662,1.4545
2000-10-12,1.4705,1.4753,1.4585
2000-10-13,1.4521,1.48,1.4487
2000-10-16,1.4473,1.454,1.4409
2000-10-17,1.4494,1.4496,1.4345
2000-10-18,1.443,1.4614,1.438
2000-10-19,1.4452,1.448,1.4394
2000-10-20,1.45,1.4515,1.4416
2000-10-23,1.4528,1.4685,1.4494
2000-10-24,1.45,1.456,1.4472
2000-10-25,1.4352,1.452,1.4306
2000-10-26,1.4343,1.4381,1.419
2000-10-27,1.4537,1.4547,1.4325
2000-10-30,1.4521,1.4675,1.4499
2000-10-31,1.4492,1.4552,1.445
2000-11-01,1.4494,1.4575,1.4418
2000-11-02,1.4465,1.455,1.4435
2000-11-03,1.4505,1.455,1.4395
2000-11-06,1.4291,1.452,1.4249
2000-11-07,1.4345,1.4353,1.424
2000-11-08,1.4228,1.436,1.4195
2000-11-09,1.432,1.4338,1.413
2000-11-10,1.4275,1.4355,1.4255
2000-11-13,1.4393,1.4411,1.4255
2000-11-14,1.4295,1.442,1.4261
2000-11-15,1.4265,1.4335,1.4229
2000-11-16,1.4236,1.428,1.4208
2000-11-17,1.423,1.427,1.42
2000-11-20,1.4231,1.4279,1.4195
2000-11-21,1.4175,1.429,1.4143
2000-11-22,1.4105,1.4225,1.4071
2000-11-23,1.3985,1.411,1.3985
2000-11-24,1.4,1.4078,1.3955
2000-11-27,1.4185,1.4197,1.4
2000-11-28,1.4183,1.4225,1.414
2000-11-29,1.4235,1.4267,1.416
2000-11-30,1.425,1.4276,1.4136
2000-12-01,1.438,1.4412,1.423
2000-12-04,1.4536,1.4562,1.438
2000-12-05,1.4343,1.4459,1.4339
2000-12-06,1.4421,1.4427,1.431
2000-12-07,1.443,1.4495,1.4384
2000-12-08,1.4454,1.4538,1.4425
2000-12-11,1.4574,1.458,1.443
2000-12-12,1.4498,1.458,1.445
2000-12-13,1.4541,1.4553,1.444
2000-12-14,1.4714,1.4728,1.454
2000-12-15,1.4752,1.4775,1.4682
2000-12-18,1.4733,1.479,1.4649
2000-12-19,1.4673,1.476,1.4621
2000-12-20,1.4773,1.4795,1.4673
2000-12-21,1.4722,1.4842,1.4665
2000-12-22,1.4769,1.4835,1.4705
2000-12-25,1.4769,1.4769,1.4769
2000-12-26,1.4841,1.4849,1.4745
2000-12-27,1.4942,1.4972,1.4805
2000-12-28,1.4924,1.498,1.4864
2000-12-29,1.4929,1.4965,1.487
2001-01-01,1.629,1.629,1.629
2001-01-02,1.4989,1.5013,1.4885
2001-01-03,1.4914,1.5095,1.4896
2001-01-04,1.5005,1.504,1.4885
2001-01-05,1.503,1.5075,1.4944
2001-01-08,1.4978,1.5105,1.493
2001-01-09,1.491,1.497,1.4872
2001-01-10,1.49,1.4945,1.486
2001-01-11,1.495,1.5015,1.487
2001-01-12,1.4788,1.503,1.4758
2001-01-15,1.4775,1.4806,1.471
2001-01-16,1.4704,1.479,1.4664
2001-01-17,1.475,1.4758,1.469
2001-01-18,1.473,1.4775,1.469
2001-01-19,1.4642,1.4765,1.4638
2001-01-22,1.4651,1.467,1.4515
2001-01-23,1.4699,1.474,1.464
2001-01-24,1.459,1.47,1.4562
2001-01-25,1.4602,1.4632,1.4469
2001-01-26,1.4597,1.4685,1.4553
2001-01-29,1.4591,1.4645,1.4555
2001-01-30,1.4627,1.4637,1.4555
2001-01-31,1.464,1.467,1.4571
2001-02-01,1.4791,1.4831,1.4625
2001-02-02,1.4668,1.483,1.4648
2001-02-05,1.4755,1.4783,1.4685
2001-02-06,1.4587,1.476,1.4573
2001-02-07,1.4555,1.4647,1.454
2001-02-08,1.4443,1.455,1.4419
2001-02-09,1.4467,1.4501,1.4375
2001-02-12,1.4518,1.4548,1.434
2001-02-13,1.4524,1.4575,1.448
2001-02-14,1.4572,1.4612,1.451
2001-02-15,1.4488,1.4605,1.445
2001-02-16,1.4498,1.4575,1.4485
2001-02-19,1.445,1.4545,1.445
2001-02-20,1.4464,1.448,1.4336
2001-02-21,1.4427,1.4475,1.4381
2001-02-22,1.4452,1.452,1.439
2001-02-23,1.4541,1.4563,1.4425
2001-02-26,1.4444,1.4565,1.4404
2001-02-27,1.4435,1.4475,1.4393
2001-02-28,1.4459,1.45,1.4397
2001-03-01,1.4572,1.4574,1.445
2001-03-02,1.4702,1.476,1.454
2001-03-05,1.4676,1.4725,1.466
2001-03-06,1.4672,1.4688,1.4625
2001-03-07,1.4608,1.4725,1.458
2001-03-08,1.4692,1.4705,1.4595
2001-03-09,1.4673,1.475,1.4615
2001-03-12,1.4634,1.469,1.462
2001-03-13,1.4492,1.4655,1.4476
2001-03-14,1.4455,1.458,1.4435
2001-03-15,1.4391,1.45,1.4347
2001-03-16,1.4281,1.438,1.4249
2001-03-19,1.4323,1.4335,1.4214
2001-03-20,1.4327,1.435,1.4233
2001-03-21,1.4306,1.4395,1.4255
2001-03-22,1.4204,1.431,1.418
2001-03-23,1.4265,1.4295,1.42
2001-03-26,1.4348,1.435,1.425
2001-03-27,1.4323,1.4385,1.4275
2001-03-28,1.4367,1.4379,1.4275
2001-03-29,1.437,1.4425,1.4262
2001-03-30,1.4174,1.4295,1.4168
2001-04-02,1.4168,1.4238,1.414
2001-04-03,1.4329,1.4341,1.4185
2001-04-04,1.4341,1.4369,1.4295
2001-04-05,1.428,1.44,1.4242
2001-04-06,1.4372,1.4414,1.4255
2001-04-09,1.4463,1.4501,1.438
2001-04-10,1.4337,1.446,1.4326
2001-04-11,1.4365,1.4385,1.4269
2001-04-12,1.439,1.4414,1.4325
2001-04-13,1.438,1.4395,1.4363
2001-04-16,1.4347,1.438,1.4321
2001-04-17,1.4297,1.4425,1.4267
2001-04-18,1.4269,1.4333,1.4186
2001-04-19,1.444,1.4452,1.426
2001-04-20,1.442,1.4485,1.4368
2001-04-23,1.4395,1.447,1.4359
2001-04-24,1.436,1.443,1.435
2001-04-25,1.4402,1.4418,1.4315
2001-04-26,1.4411,1.4431,1.4357
2001-04-27,1.4334,1.4436,1.4328
2001-04-30,1.4308,1.4375,1.4286
2001-05-01,1.4343,1.4367,1.426
2001-05-02,1.4329,1.4375,1.4295
2001-05-03,1.4355,1.437,1.4299
2001-05-04,1.4385,1.4445,1.4335
2001-05-07,1.4385,1.4417,1.4353
2001-05-08,1.426,1.439,1.425
2001-05-09,1.4216,1.429,1.4178
2001-05-10,1.4233,1.4282,1.4179
2001-05-11,1.4201,1.4235,1.4135
2001-05-14,1.4196,1.421,1.4144
2001-05-15,1.424,1.4254,1.417
2001-05-16,1.4307,1.4311,1.421
2001-05-17,1.431,1.4325,1.4272
2001-05-18,1.4395,1.4401,1.4265
2001-05-21,1.4391,1.4415,1.435
2001-05-22,1.4271,1.4405,1.4237
2001-05-23,1.4185,1.429,1.4169
2001-05-24,1.4087,1.421,1.4077
2001-05-25,1.422,1.4228,1.4075
2001-05-28,1.421,1.423,1.4185
2001-05-29,1.4227,1.4229,1.415
2001-05-30,1.4272,1.4278,1.42
2001-05-31,1.4251,1.4265,1.4159
2001-06-01,1.418,1.4215,1.4116
2001-06-04,1.4146,1.4215,1.4108
2001-06-05,1.411,1.4145,1.4065
2001-06-06,1.3911,1.415,1.3891
2001-06-07,1.3902,1.3935,1.3805
2001-06-08,1.3813,1.394,1.3773
2001-06-11,1.3745,1.3875,1.3715
2001-06-12,1.3733,1.3799,1.3685
2001-06-13,1.3907,1.3925,1.371
2001-06-14,1.4019,1.4027,1.3877
2001-06-15,1.4045,1.4105,1.399
2001-06-18,1.4045,1.4074,1.4005
2001-06-19,1.4001,1.405,1.3945
2001-06-20,1.3989,1.4023,1.3907
2001-06-21,1.4167,1.4179,1.3945
2001-06-22,1.4116,1.4195,1.4086
2001-06-25,1.4139,1.4175,1.4115
2001-06-26,1.4153,1.4177,1.41
2001-06-27,1.4165,1.4225,1.4123
2001-06-28,1.4086,1.4195,1.4056
2001-06-29,1.4134,1.4148,1.403
2001-07-02,1.4161,1.4187,1.41
2001-07-03,1.4062,1.4175,1.4048
2001-07-04,1.407,1.409,1.403
2001-07-05,1.4004,1.4075,1.3988
2001-07-06,1.4123,1.4125,1.3965
