Date,USD/JPY Close,USD/JPY High,USD/JPY Low
1999-04-22,119.5,120.4,119.41
1999-04-23,119.37,119.8,119.13
1999-04-26,119.27,119.58,118.7
1999-04-27,120.37,120.56,119.1
1999-04-28,119.23,120.25,118.35
1999-04-29,119.01,119.4,118.8
1999-04-30,119.39,119.96,118.95
1999-05-03,120.29,120.43,119.4
1999-05-04,120.83,121.34,120.2
1999-05-05,120.61,121.43,119.96
1999-05-06,120.44,121.09,119.85
1999-05-07,120.83,120.92,120.25
1999-05-10,120.51,121.29,120.32
1999-05-11,120.95,121.15,120.25
1999-05-12,120.91,121.64,120.29
1999-05-13,121.82,121.91,120.85
1999-05-14,122.75,122.79,121.49
1999-05-17,123.43,123.55,122.8
1999-05-18,123.18,123.65,122.65
1999-05-19,124.33,124.72,123.2
1999-05-20,124.37,124.75,123.84
1999-05-21,124,124.55,123.55
1999-05-24,123.2,124.35,122.91
1999-05-25,122.8,123.2,122.35
1999-05-26,122.07,122.45,121.6
1999-05-27,120.39,122.7,119.8
1999-05-28,121.45,121.75,120.2
1999-05-31,121.6,121.9,121.25
1999-06-01,120.56,121.9,120.34
1999-06-02,121.33,121.43,120.4
1999-06-03,121.65,121.95,120.95
1999-06-04,122.25,122.51,121.45
1999-06-07,120.77,122.45,120.55
1999-06-08,118.89,121.65,118.74
1999-06-09,118.89,119.6,118.6
1999-06-10,118.85,119.9,117.55
1999-06-11,118.07,119.1,117.88
1999-06-14,120.6,120.85,117.9
1999-06-15,120.4,120.78,120.2
1999-06-16,120.27,120.65,120.05
1999-06-17,119.16,120.4,119.15
1999-06-18,120.39,120.98,118.95
1999-06-21,122.47,122.51,120.6
1999-06-22,121.68,122.45,121.53
1999-06-23,121.7,122.3,121.7
1999-06-24,121.83,122.3,121.65
1999-06-25,121.4,122.05,121.13
1999-06-28,121.19,121.9,121
1999-06-29,121.08,121.65,120.78
1999-06-30,121.11,121.2,120.55
1999-07-01,120.78,121.49,120.56
1999-07-02,121.08,121.25,120.75
1999-07-05,122.4,122.85,120.95
1999-07-06,122,122.4,121.88
1999-07-07,122.18,122.28,121.9
1999-07-08,122.61,122.79,122.25
1999-07-09,122.4,122.7,122.06
1999-07-12,122.15,122.5,121.95
1999-07-13,121.33,122.2,121.14
1999-07-14,120.59,121.4,120.36
1999-07-15,120.83,121.2,120.25
1999-07-16,120.98,121.15,120.48
1999-07-19,117.79,121,117.7
1999-07-20,118.89,119.7,117.95
1999-07-21,118.15,119.6,118.07
1999-07-22,116.61,118.75,116.04
1999-07-23,116.55,117.35,116.13
1999-07-26,116.62,117.1,115.47
1999-07-27,116.34,117.35,116.16
1999-07-28,116.08,116.6,115.4
1999-07-29,115.46,116.1,114.91
1999-07-30,114.53,115.8,114.35
1999-08-02,114.26,114.95,113.95
1999-08-03,115.3,115.76,114.35
1999-08-04,114.36,115.35,114.07
1999-08-05,114.31,114.9,113.61
1999-08-06,114.75,114.95,114.25
1999-08-09,115.21,115.53,115
1999-08-10,114.87,115.4,114.41
1999-08-11,115.37,115.39,114.5
1999-08-12,115.58,116,115.4
1999-08-13,115.75,116.51,114.5
1999-08-16,114.7,115.9,114.65
1999-08-17,114.03,114.9,113.91
1999-08-18,111.98,114.3,111.62
1999-08-19,111.39,112.35,110.75
1999-08-20,111.28,112.1,111.06
1999-08-23,111.44,112.08,110.6
1999-08-24,110.77,112.8,110.66
1999-08-25,111.11,112.4,110.55
1999-08-26,111.57,111.88,110.8
1999-08-27,111.58,111.9,111.3
1999-08-30,110.72,111.27,110.57
1999-08-31,109.59,111.05,109.05
1999-09-01,109.05,109.8,108.67
1999-09-02,109.2,109.7,108.67
1999-09-03,110.05,110.52,109.1
1999-09-06,109.55,109.95,109.3
1999-09-07,110.85,111.4,109.4
1999-09-08,111.09,111.25,110.4
1999-09-09,107.88,111.15,107.55
1999-09-10,108.84,109.95,107.65
1999-09-13,106.47,109.1,106.1
1999-09-14,105.83,107.2,105.18
1999-09-15,104.24,106,103.2
1999-09-16,105.17,105.55,103.75
1999-09-17,106.92,107.38,104.8
1999-09-20,106.37,108.15,106.16
1999-09-21,104.85,107.35,103.79
1999-09-22,103.99,105.3,103.69
1999-09-23,104.11,104.61,103.45
1999-09-24,104.1,105.1,103.7
1999-09-27,105.92,106.5,103.9
1999-09-28,106.11,106.71,105.55
1999-09-29,106.99,107.25,106.1
1999-09-30,106.39,107.15,105.2
1999-10-01,104.93,106.35,104.8
1999-10-04,106.2,106.51,104.6
1999-10-05,106.49,107.19,105.9
1999-10-06,107.53,107.78,105.95
1999-10-07,107.44,107.95,107.15
1999-10-08,107.42,107.95,107
1999-10-11,106.85,107.45,106.6
1999-10-12,106.32,106.9,106.1
1999-10-13,106.57,107.98,105.95
1999-10-14,107.3,107.45,106.4
1999-10-15,105.31,107.6,105.18
1999-10-18,105.1,105.8,104.8
1999-10-19,105.21,105.92,105.16
1999-10-20,106.49,106.78,105.15
1999-10-21,105.87,106.6,105.76
1999-10-22,105.99,106.25,105.25
1999-10-25,105.33,106.2,105.21
1999-10-26,104.7,105.5,104.54
1999-10-27,104.4,104.9,103.7
1999-10-28,105.12,105.25,103.9
1999-10-29,104.2,105.25,103.92
1999-11-01,104.2,104.57,103.7
1999-11-02,104.14,105.05,103.79
1999-11-03,104.92,105.28,103.4
1999-11-04,104.92,105.5,104.36
1999-11-05,106.02,106.62,104.65
1999-11-08,105.16,106.35,105.1
1999-11-09,104.96,105.5,104.75
1999-11-10,104.62,105.25,104.37
1999-11-11,104.9,105.3,104.5
1999-11-12,105.17,105.45,104.5
1999-11-15,104.9,105.1,104.7
1999-11-16,105.89,106.02,104.8
1999-11-17,105.42,106.25,105
1999-11-18,105.94,106.02,105.35
1999-11-19,106.31,106.6,105.8
1999-11-22,104.81,106.6,104.54
1999-11-23,104.16,104.8,103.99
1999-11-24,104.5,104.77,104.1
1999-11-25,104.3,105.02,104.13
1999-11-26,101.63,104.5,101.28
1999-11-29,102.24,104.05,101.61
1999-11-30,101.9,103.05,101.35
1999-12-01,102.69,102.76,102
1999-12-02,102.64,102.75,102.2
1999-12-03,102.67,102.76,102.15
1999-12-06,103.02,103.46,102.05
1999-12-07,102.35,103.2,102.18
1999-12-08,102.89,103.08,102.3
1999-12-09,102.41,103.35,102.19
1999-12-10,102.32,102.7,102.16
1999-12-13,103.19,103.33,102.25
1999-12-14,103.51,103.77,102.85
1999-12-15,103.7,103.75,103.3
1999-12-16,103.06,103.75,102.55
1999-12-17,103.17,103.42,102.7
1999-12-20,102.46,103.4,102.29
1999-12-21,102.18,102.6,101.84
1999-12-22,101.69,102.35,101.43
1999-12-23,101.75,102.2,101.3
1999-12-24,102.9,103.15,101.8
1999-12-27,102.25,102.81,101.94
1999-12-28,102.37,102.7,101.97
1999-12-29,102.19,102.45,101.81
1999-12-30,102.51,102.6,101.95
1999-12-31,102.22,102.62,102.09
2000-01-03,101.58,102.2,101.42
2000-01-04,103.26,103.32,101.45
2000-01-05,104.39,104.4,102.85
2000-01-06,105.47,105.6,104
2000-01-07,105.25,105.92,104.9
2000-01-10,105.15,105.41,104.35
2000-01-11,105.92,106.33,105.05
2000-01-12,105.93,106.09,105.63
2000-01-13,106.16,106.27,105.45
2000-01-14,105.71,106.23,105.54
2000-01-17,104.9,105.85,104.68
2000-01-18,105.66,105.7,104.8
2000-01-19,105.33,105.89,105.14
2000-01-20,105.27,105.7,105.17
2000-01-21,104.79,105.5,104.45
2000-01-24,105.6,105.86,104.7
2000-01-25,105.89,106.06,105.5
2000-01-26,105.72,106.2,105.54
2000-01-27,104.96,105.85,104.64
2000-01-28,107.05,107.27,104.55
2000-01-31,107.47,107.56,106.63
2000-02-01,107.83,107.95,107.15
2000-02-02,108.24,109,107.75
2000-02-03,107.72,108.72,107.05
2000-02-04,107.29,108.04,107.18
2000-02-07,108.79,108.86,107.2
2000-02-08,109.26,109.72,108.6
2000-02-09,109.12,109.65,108.55
2000-02-10,108.9,109.15,108.3
2000-02-11,108.87,109.77,108.81
2000-02-14,108.79,109,108
2000-02-15,109.11,109.3,108.46
2000-02-16,109.41,109.67,108.9
2000-02-17,110.56,110.68,109.35
2000-02-18,110.95,111.27,110.3
2000-02-21,111.35,111.4,110.4
2000-02-22,110.71,111.75,110.54
2000-02-23,111.32,111.36,110.1
2000-02-24,111.05,111.5,110.57
2000-02-25,110.15,111.5,110.15
2000-02-28,109.26,110.4,108.4
2000-02-29,110.12,110.4,109.4
2000-03-01,107.09,110.3,106.48
2000-03-02,107.74,108,106.6
2000-03-03,107.86,108,107.3
2000-03-06,107.54,107.9,106.7
2000-03-07,106.15,108.15,105.79
2000-03-08,107.03,107.45,106
2000-03-09,106.54,107.25,106.17
2000-03-10,106.18,106.7,106.07
2000-03-13,105.59,106.6,104.81
2000-03-14,105.05,105.11,104.6
2000-03-15,105.58,106.2,104.75
2000-03-16,105.55,105.8,105.1
2000-03-17,106.69,106.75,105.35
2000-03-20,106.3,107.05,106.26
2000-03-21,107.03,107.21,106.25
2000-03-22,106.9,107.12,106.5
2000-03-23,107.37,107.79,107
2000-03-24,107,107.65,106.7
2000-03-27,106.74,107.15,106.6
2000-03-28,105.88,106.8,105.67
2000-03-29,105.58,106.3,105
2000-03-30,105.49,105.9,104.84
2000-03-31,102.28,106.05,101.99
2000-04-03,104.81,105.6,102.8
2000-04-04,104.85,105.76,104.07
2000-04-05,104.9,105.5,104.75
2000-04-06,104.77,105.1,104.55
2000-04-07,105.43,105.5,104.7
2000-04-10,106.47,106.81,105.3
2000-04-11,107.11,107.12,106.35
2000-04-12,105.85,106.95,105.25
2000-04-13,105.85,106.13,105.65
2000-04-14,104.91,106.15,104.77
2000-04-17,104.28,105.7,103.2
2000-04-18,104.74,105.15,104.07
2000-04-19,104.79,105.05,104.22
2000-04-20,105.75,105.8,104.5
2000-04-21,105.75,105.88,105.45
2000-04-24,105.76,106,105.11
2000-04-25,105.8,106.02,105.2
2000-04-26,106.28,106.8,105.55
2000-04-27,106.35,106.65,105.55
2000-04-28,108.24,108.27,106.35
2000-05-01,108.88,109.1,107.65
2000-05-02,108.53,109.85,108.25
2000-05-03,109.1,109.49,108.36
2000-05-04,108.12,109.64,107.68
2000-05-05,108.5,108.69,107.25
2000-05-08,108.98,109.2,108.3
2000-05-09,109.47,109.63,108.6
2000-05-10,109.46,109.6,108.6
2000-05-11,108.57,110.05,108.05
2000-05-12,108.44,109.1,107.85
2000-05-15,109.55,109.62,108.6
2000-05-16,109.41,109.92,108.75
2000-05-17,109.39,110.04,109.05
2000-05-18,108.76,109.4,108.45
2000-05-19,106.8,108.8,106.32
2000-05-22,107.05,107.46,106.75
2000-05-23,106.61,107.3,106.4
2000-05-24,107.82,107.95,106.4
2000-05-25,107.48,107.95,107.3
2000-05-26,106.96,107.8,106.58
2000-05-29,107.25,107.36,106.7
2000-05-30,106.56,107,106.04
2000-05-31,107.72,107.95,106.2
2000-06-01,108.55,109.01,107.6
2000-06-02,108.33,109.1,107.65
2000-06-05,107.69,108.3,107.26
2000-06-06,105.65,107.6,105.24
2000-06-07,105.52,106.2,105
2000-06-08,106.16,106.21,105.4
2000-06-09,106.84,107.01,105.85
2000-06-12,106.74,107.15,106.35
2000-06-13,106.91,107,106.21
2000-06-14,106.71,107.1,106.3
2000-06-15,106.61,106.73,106.09
2000-06-16,106.22,106.6,106
2000-06-19,105.74,106.5,105.59
2000-06-20,105.43,105.9,105.21
2000-06-21,105.55,105.65,105.15
2000-06-22,104.4,105.65,104.11
2000-06-23,104.68,104.9,103.92
2000-06-26,105.71,105.77,104.3
2000-06-27,105.27,105.9,105.26
2000-06-28,105.55,105.79,105.25
2000-06-29,105.04,105.5,104.35
2000-06-30,105.86,106.4,104.8
2000-07-03,105.65,106.45,105.61
2000-07-04,106.15,106.5,105.25
2000-07-05,107.05,107.2,105.8
2000-07-06,107.46,107.49,106.8
2000-07-07,107.85,107.92,107.2
2000-07-10,107.16,107.9,106.55
2000-07-11,107.08,107.15,106.6
2000-07-12,108.34,108.47,107
2000-07-13,108.25,108.35,106.98
2000-07-14,107.92,108.44,107.55
2000-07-17,108.38,108.8,107.3
2000-07-18,108.36,108.48,107.65
2000-07-19,108.3,108.43,107.76
2000-07-20,107.66,108.27,107.3
2000-07-21,108.87,109.2,107.4
2000-07-24,108.73,109.15,108.5
2000-07-25,109.25,109.32,108.6
2000-07-26,109.28,109.4,108.9
2000-07-27,109.19,109.35,108.73
2000-07-28,109.58,109.8,108.5
2000-07-31,109.37,109.8,109.15
2000-08-01,109.25,109.75,108.92
2000-08-02,109.05,109.3,108.3
2000-08-03,108.43,109.1,107.9
2000-08-04,108.52,108.65,108.05
2000-08-07,109.14,109.16,108.55
2000-08-08,108.6,109.25,108.35
2000-08-09,107.87,108.7,107.76
2000-08-10,108.83,108.97,107.5
2000-08-11,108.72,108.95,108.29
2000-08-14,109.51,109.6,108.6
2000-08-15,109.16,109.64,108.88
2000-08-16,108.63,109.2,108.3
2000-08-17,108.55,108.64,108.2
2000-08-18,108.48,109.15,108.08
2000-08-21,108.67,108.78,107.8
2000-08-22,108.29,108.65,108.1
2000-08-23,107.03,108.35,106.83
2000-08-24,106.81,107.35,106.6
2000-08-25,106.93,107.27,106.66
2000-08-28,106.5,106.85,106.1
2000-08-29,106.06,106.7,106.06
2000-08-30,106.37,106.73,105.9
2000-08-31,106.78,106.85,106.25
2000-09-01,105.79,106.75,105.54
2000-09-04,105.82,105.95,105.6
2000-09-05,105.85,106.5,105.79
2000-09-06,105.87,106.1,105.55
2000-09-07,105.04,106.45,104.76
2000-09-08,106.1,106.25,105.05
2000-09-11,106.04,106.5,105.85
2000-09-12,106.91,107.05,106.1
2000-09-13,107.14,107.36,106.8
2000-09-14,107.59,107.6,106.8
2000-09-15,107.3,107.73,107.17
2000-09-18,106.95,107.15,106.65
2000-09-19,106.98,107.1,106.7
2000-09-20,106.62,107.4,106.39
2000-09-21,106.73,106.78,106.3
2000-09-22,108.07,108.16,106.55
2000-09-25,107.75,108.1,107.4
2000-09-26,107.62,107.77,107.15
2000-09-27,107.3,107.9,107.2
2000-09-28,107.6,107.78,107.2
2000-09-29,108.13,108.46,107.5
2000-10-02,108.85,108.95,108.1
2000-10-03,108.81,108.95,108.45
2000-10-04,109.32,109.43,108.55
2000-10-05,109.15,109.53,109.05
2000-10-06,108.81,109.15,108.65
2000-10-09,108.85,109.1,108.8
2000-10-10,107.73,108.85,107.68
2000-10-11,107.59,108.15,107.51
2000-10-12,107.48,108.19,107.4
2000-10-13,107.77,107.95,107.5
2000-10-16,108.11,108.35,107.5
2000-10-17,108.01,108.25,107.85
2000-10-18,107.69,108.35,107.4
2000-10-19,108.29,108.6,107.55
2000-10-20,108.96,109.18,108.25
2000-10-23,108.27,109.05,108.23
2000-10-24,107.97,108.49,107.95
2000-10-25,108.16,108.2,107.65
2000-10-26,108.36,108.65,107.9
2000-10-27,108.6,108.85,108.25
2000-10-30,108.97,109.01,108.45
2000-10-31,109.03,109.29,108.7
2000-11-01,108.25,109,108.21
2000-11-02,108.2,108.47,107.95
2000-11-03,106.93,108.35,106.68
2000-11-06,107.41,107.59,106.88
2000-11-07,107.09,107.45,106.96
2000-11-08,107.27,107.9,106.9
2000-11-09,107.36,107.86,107.06
2000-11-10,107.9,107.97,107.35
2000-11-13,107.62,108.05,107.04
2000-11-14,108.13,108.19,107.5
2000-11-15,108.92,108.95,108
2000-11-16,109,109.13,108.7
2000-11-17,108.87,109,108.6
2000-11-20,109.92,110.35,108.75
2000-11-21,110.18,110.44,109.6
2000-11-22,110.28,110.33,109.5
2000-11-23,110.3,110.4,110.05
2000-11-24,111.38,111.46,110.15
2000-11-27,110.54,111.5,110.51
2000-11-28,110.14,110.8,110.05
2000-11-29,111.19,111.35,109.9
2000-11-30,110.37,111.35,110.32
2000-12-01,111.26,112.05,110.3
2000-12-04,111.11,111.45,110.44
2000-12-05,111.18,111.35,110.43
2000-12-06,110.37,111.15,110.18
2000-12-07,110.61,110.83,110.15
2000-12-08,111.31,111.46,110.45
2000-12-11,110.72,111.4,110.54
2000-12-12,111.45,111.74,110.7
2000-12-13,112.46,112.75,111.35
2000-12-14,112.32,112.82,112.12
2000-12-15,112.51,112.7,111.85
2000-12-18,112.14,112.7,111.91
2000-12-19,112.49,112.58,111.8
2000-12-20,112.79,113.05,112.35
2000-12-21,112.26,113.15,111.9
2000-12-22,112.79,112.83,112.05
2000-12-25,112.79,112.79,112.79
2000-12-26,113.6,113.69,113.05
2000-12-27,114.38,114.41,113.6
2000-12-28,114.33,114.91,114.1
2000-12-29,114.69,115.11,114.3
2001-01-01,114.69,114.69,114.69
2001-01-02,114.49,115.06,114.3
2001-01-03,113.72,114.65,113.62
2001-01-04,115.64,115.7,113.55
2001-01-05,116.6,116.9,115.5
2001-01-08,115.71,116.6,115.69
2001-01-09,116.71,116.87,115.65
2001-01-10,116.44,117.15,115.8
2001-01-11,117.69,117.77,116.3
2001-01-12,118.29,118.5,117.4
2001-01-15,118.7,119.35,118.2
2001-01-16,117.41,119.15,117.23
2001-01-17,118.84,118.9,116.9
2001-01-18,118.14,119.85,117.63
2001-01-19,117.18,118.35,116.95
2001-01-22,116.46,117.05,116.25
2001-01-23,117.04,117.4,116.25
2001-01-24,117.92,118.47,116.5
2001-01-25,116.57,118.1,116.35
2001-01-26,117.37,117.6,116.35
2001-01-29,116.75,117.7,116.15
2001-01-30,115.81,116.89,115.58
2001-01-31,116.4,116.65,115.65
2001-02-01,115.64,116.75,115.25
2001-02-02,115.72,115.89,114.95
2001-02-05,114.81,116.05,114.68
2001-02-06,114.76,115.25,114.36
2001-02-07,115.22,116.32,114.65
2001-02-08,116.62,116.69,115.88
2001-02-09,117.54,117.77,116.3
2001-02-12,117.54,117.95,117.35
2001-02-13,116.57,117.6,116.54
2001-02-14,116.42,116.9,116.08
2001-02-15,115.66,116.4,115.52
2001-02-16,115.47,115.9,114.55
2001-02-19,116.1,116.2,115.5
2001-02-20,115.67,116.2,115.1
2001-02-21,116.64,116.85,115.3
2001-02-22,116.42,116.65,115.8
2001-02-23,115.59,117.15,115.59
2001-02-26,116.52,116.77,115.75
2001-02-27,116.3,116.55,115.95
2001-02-28,117.45,117.59,115.9
2001-03-01,117.34,117.55,117.1
2001-03-02,118.96,119.34,117.3
2001-03-05,119.09,119.77,118.65
2001-03-06,118.92,119.2,118.25
2001-03-07,119.86,120.25,118.6
2001-03-08,119.73,120.4,119.28
2001-03-09,119.67,119.85,119.07
2001-03-12,120.48,120.7,119.4
2001-03-13,119.85,120.6,119.8
2001-03-14,121.04,121.22,119.3
2001-03-15,122.35,122.55,120.5
2001-03-16,122.86,123.19,121.65
2001-03-19,122.96,123.65,122.02
2001-03-20,122.17,123,122.12
2001-03-21,123.51,123.9,122
2001-03-22,122.93,124.33,123
2001-03-23,122.93,123.75,122.55
2001-03-26,122.77,123.8,122.75
2001-03-27,122.15,123.33,121.66
2001-03-28,122.36,122.76,121.4
2001-03-29,123.59,123.74,122.15
2001-03-30,126.15,126.3,123.25
2001-04-02,126.45,126.85,125.7
2001-04-03,126.66,126.75,125.25
2001-04-04,125.4,126.25,124.83
2001-04-05,124.12,125.5,123.5
2001-04-06,124.01,125.5,123.82
2001-04-09,125.06,125.5,124
2001-04-10,124.46,125.4,124.2
2001-04-11,124.76,124.96,123.85
2001-04-12,123.73,124.95,122.95
2001-04-13,124.2,124.45,123.6
2001-04-16,124.35,124.95,124.15
2001-04-17,123.36,124.7,123.1
2001-04-18,122.3,123.64,122.22
2001-04-19,121.62,122.4,121.32
2001-04-20,122.5,122.65,120.94
2001-04-23,121.2,122.5,121.19
2001-04-24,122.16,122.3,121.1
2001-04-25,122.25,122.65,121.97
2001-04-26,123.16,123.57,121.8
2001-04-27,124.06,124.2,123.15
2001-04-30,123.69,124.19,123.25
2001-05-01,122.16,123.65,121.92
2001-05-02,121.78,122.57,121.4
2001-05-03,121.47,121.8,120.74
2001-05-04,121.26,121.5,120.55
2001-05-07,121.23,121.8,120.95
2001-05-08,121.35,122.14,120.85
2001-05-09,122.24,122.43,121.45
2001-05-10,122.6,122.78,122.05
2001-05-11,122.59,122.8,121.83
2001-05-14,123.29,123.4,122.4
2001-05-15,123.48,123.69,123.07
2001-05-16,123.51,124.02,123.1
2001-05-17,122.57,123.45,122.5
2001-05-18,123.66,123.83,122.55
2001-05-21,122.57,123.75,122.55
2001-05-22,122.72,123.3,122.44
2001-05-23,119.83,122.91,119.37
2001-05-24,120.02,120.4,118.85
2001-05-25,120.59,120.76,119.8
2001-05-28,121.09,121.2,120.3
2001-05-29,120.09,121.35,119.99
2001-05-30,120.33,120.6,119.9
2001-05-31,119.16,120.55,118.51
2001-06-01,119.09,119.3,118.3
2001-06-04,119.34,119.85,118.85
2001-06-05,120.33,120.43,118.75
2001-06-06,120.37,120.82,120.15
2001-06-07,120.02,120.3,119.62
2001-06-08,120.99,121.03,120.05
2001-06-11,121.93,122.07,120.85
2001-06-12,121.68,122.05,121.55
2001-06-13,122.08,122.4,121.55
2001-06-14,121.38,122.25,121.16
2001-06-15,123.09,123.28,120.9
2001-06-18,123.35,123.5,122.75
2001-06-19,123.11,123.75,122.69
2001-06-20,123.71,124.1,122.55
2001-06-21,124.41,124.55,123.65
2001-06-22,124.4,124.7,123.8
2001-06-25,123.83,124.45,123.74
2001-06-26,123.75,124.02,123.3
2001-06-27,124.28,124.46,123.75
2001-06-28,124.72,124.98,124.2
2001-06-29,124.79,124.87,124.15
2001-07-02,124.42,124.98,124.16
2001-07-03,124.4,124.61,123.65
2001-07-04,124.48,125.05,124.25
2001-07-05,125.77,125.84,124.4
2001-07-06,126.03,126.05,125.45
2001-07-09,125.42,125.95,125.29
2001-07-10,125.37,125.85,125.2
2001-07-11,124.35,125.75,123.88
2001-07-12,123.79,124.45,123.49
2001-07-13,124.89,125.03,123.85
2001-07-16,125.44,125.52,124.7
2001-07-17,125.11,125.65,124.71
2001-07-18,123.95,125.45,123.78
2001-07-19,123.39,124.15,123.2
2001-07-20,122.83,123.77,122.71
2001-07-23,124.43,124.51,123.15
2001-07-24,123.9,124.5,123.26
2001-07-25,123.65,124.46,123.42
2001-07-26,123.72,124.09,123.18
2001-07-27,123.62,124.15,123.2
2001-07-30,125.14,125.35,123.2
2001-07-31,125.1,125.25,124.64
2001-08-01,124.64,125.19,124.5
2001-08-02,123.77,124.68,123.57
2001-08-03,123.68,124,123.3
2001-08-06,123.87,124.25,123.65
2001-08-07,123.49,124.15,123.43
2001-08-08,123.4,123.65,122.8
2001-08-09,121.85,123.95,121.37
2001-08-10,122.01,122.6,121.75
2001-08-13,122.46,122.51,121.41
2001-08-14,121.72,123.15,121.18
2001-08-15,119.65,121.9,119.1
2001-08-16,119.88,120.38,119.25
2001-08-17,120.27,120.77,120.05
2001-08-20,120.71,120.85,120.1
2001-08-21,119.77,120.92,119.55
2001-08-22,120.45,120.61,119.35
2001-08-23,119.76,120.7,119.67
2001-08-24,120.14,120.37,119.55
2001-08-27,119.92,120.35,119.82
2001-08-28,120.12,120.8,119.65
2001-08-29,120.15,120.19,119.11
2001-08-30,119.33,120.25,119.25
2001-08-31,118.79,119.55,118.45
2001-09-03,118.7,119.35,118.6
2001-09-04,119.47,119.65,118.6
2001-09-05,120.74,120.91,119.25
2001-09-06,121.06,121.5,120.6
2001-09-07,120.12,121.4,119.72
2001-09-10,120.92,121.14,119.75
2001-09-11,119.3,122.06,118.5
2001-09-12,119.5,120.75,118.65
2001-09-13,118.66,119.7,118.63
2001-09-14,117.04,119.15,116.86
2001-09-17,117.48,118.35,116.65
2001-09-18,117.23,118.15,117.11
2001-09-19,117.52,118.1,117.1
2001-09-20,116.03,117.65,115.8
2001-09-21,116.74,117.45,116
2001-09-24,117.57,117.58,116.3
2001-09-25,117.61,117.83,117
2001-09-26,117.84,118.07,117.1
2001-09-27,119.64,120.05,117.65
2001-09-28,119.48,119.75,118.69
2001-10-01,120.23,120.4,119.4
2001-10-02,120.85,121.12,120.1
2001-10-03,120.79,121.45,120.45
2001-10-04,120.68,120.75,120.2
2001-10-05,120.35,120.65,119.93
2001-10-08,119.8,120.3,119.6
2001-10-09,120.28,120.36,119.75
2001-10-10,120.37,120.55,119.8
2001-10-11,121.44,121.74,120.1
2001-10-12,121.38,121.75,120.7
2001-10-15,120.95,121.15,120.49
2001-10-16,121.31,121.91,120.65
2001-10-17,121.24,121.75,120.76
2001-10-18,121.17,121.45,120.75
2001-10-19,121.19,121.34,120.83
2001-10-22,122.48,122.63,121.15
2001-10-23,122.71,123.05,122.3
2001-10-24,122.88,123,122.35
2001-10-25,122.94,123.35,122.45
2001-10-26,122.74,123.26,122.4
2001-10-29,122.03,122.8,121.81
2001-10-30,122.03,122.17,121.56
